ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Description,Categories,Language
059030271X,Charlotte's Web,E. B. White,1974,Scholastic Paperbacks (T),"When he discovers that he is destined to be someone's dinner, Wilbur the pig is desolate until his spider friend Charlotte decides to help him.",Juvenile Fiction,en
1567182798,The Intimate Enemy: Winning the War Within Yourself,Guy Finley,1997,Llewellyn Pubns,,,
0679883428,"Junie B. Jones Is Not A Crook (Junie B. Jones 9, paper)",BARBARA PARK,1997,Random House Books for Young Readers,,,
0553240781,The Stately Home Murder,Catherine Aird,1983,Bantam Books (Mm),,,
0892437871,Dangerous Prayer: Being Vulnerable to God,William J. O'Malley,1995,Liguori Pubns,,,
0061073113,The Making of The X-Files Film,Jody Duncan,1998,Perennial Currents,,,
2080720376,Trois aventures de Sherlock Holmes,Sir Arthur Conan Doyle,1998,Flammarion,,,
0380845091,Bright Shadow (Avon/Flare Book),Joyce Carol Thomas,1983,HarperTrophy,,,
0312965060,The Waiting Time (Waiting Time),Eugenia Price,1998,St. Martin's Press,,,
0441009301,The Lost Years of Merlin,T. A Barron,2002,Ace Books,,,
0399136606,Capitol Secrets,Maureen Dean,1992,Putnam Pub Group,,,
0763615005,Maisy at the Fair (Maisy Books (Hardcover)),Lucy Cousins,2001,Candlewick Press (MA),,,
0140040188,American Fried: Adventures of a Happy Eater.,Calvin. Trillin,1975,Viking Press,,Dinners and dining,
0590689509,"Night Creature (The Werewolf Chronicles , Bk 1)",W. R. Philbrick,1996,Scholastic,,,
0609608983,Poker Face : A Girlhood Among Gamblers,Katy Lederer,2003,Crown,,,
0525671919,Chipmunk Song,Joanne Ryder,1987,Penguin USA,,,
0803292120,Cheyenne Autumn,Mari Sandoz,1992,University of Nebraska Press,,,
0449223841,Bedside Guide to Dreams,STASE MA MICHAELS,1995,Ballantine Books,,,
0373151861,Christmas Memories,Marilyn Pappano,1994,Silhouette,,,
0449203476,Patience and Sarah,Miller,1983,Not Avail,,,
8429737502,La glÃ²ria del doctor LarÃ©n,Pere Calders,1994,Avui,,,
1894020677,FutureConsumer.Com: The Webolution of Shopping to 2010,Frank Feather,2000,Warwick Publishing,,,
051744898X,Edward Gorey's Haunted Looking,Edward Gorey,1984,Random House Value Publishing,,,
1886157154,Body and Blood: A Novel of Linked Stories,Philip Russell,1998,University of Missouri Press,,,
0553443828,Dance With the Devil (Loveswept No 648),Leanne Banks,1993,Loveswept,,,
0886771374,The Realm Beneath,B.W. Clough,1986,New Amer Library (Mm),,,
0385333595,Mary and O'Neil,JUSTIN CRONIN,2002,Delta,,,
0895242826,Ratt: Renegade Angels (Rock read),Steve Gett,1985,Hal Leonard Corp,,,
157223296X,What Cats Teach Us...: Life's Lessons Learned from Our Feline Friends,Glenn Dromgoole,2000,Willow Creek Press,,,
0070925305,Charlie Farquharson's histry [sic] of Canada,Don Harron,1972,McGraw-Hill Ryerson,,,
0307119793,The Horned Dinosaur (I Love Dinosaurs),Berenstain,1989,Golden Books,,,
0373107501,Viking Invader,Sally Wentworth,1984,Harlequin,,,
0373761899,Beloved (Silhouette Desire #1189),Diana Palmer,1998,Silhouette,"Beloved by Diana Palmer released on Nov 24, 1998 is available now for purchase.",Man-woman relationships,
0867600055,Discovering Jesus,Gordon Moyes,1985,Albatross Books,,,
0425100413,The Regatta Mystery and Other Stories,Agatha Christie,1996,Berkley Publishing Group,1 BESTSELLING MYSTERY WRITER. 3 POPULAR SLEUTHS. 9 TANTALIZING CRIMES.,Detective and mystery stories,
0451168119,Maia,Richard Adams,1990,New Amer Library,,,
0373705409,"For The Love Of Ivy (Harlequin Superromance, No 70540)",Barbara Kaye,1993,Harlequin,,,
0060196793,The RealAge Diet: Make Yourself Younger With What You Eat,Michael F. Roizen,2001,HarperResource,,,
0439158060,Benjamin Franklin (In Their Own Words (Paper)),Peter Roop,2001,Hyperion Books for Children,,,
006011875X,Demian: The Story of Emil Sinclair's Youth,Hermann Hesse,1965,Harpercollins,,,
0671735977,The Great Divide: How Females and Males Really Differ,Daniel Evan Weiss,1991,Simon &amp; Schuster,,,
0425115585,Pulse Points,Suzanne Topper,1989,Berkley Pub Group,,,
1903471281,Footprint Tunisia Handbook,Justin McGuinness,2002,Footprint Press,,,
0374528551,Selected Verse: Revised Edition,Federico Garcia Lorca,2004,"Farrar, Straus and Giroux",,,
0442255160,Aesop's fables in the executive suite,John Smith Morgan,1974,Van Nostrand Reinhold Co,,,
0877739455,"Mothers, Sons, and Lovers",MICHAEL GURIAN,1993,Shambhala,,,
0802714064,Edison &amp; the Electric Chair: A Story of Light and Death,Mark Regan Essig,2003,Walker &amp; Company,,,
0425064026,Secrets,Elizabeth James,1983,Berkley Pub Group,,,
0380819589,The Day John Died,Christopher Andersen,2001,Avon,,,
0805070710,Iwo Jima,Richard F. Newcomb,2002,Owl Books (NY),,,
0385004648,The Complete Chess Course,Fred Reinfeld,1959,Doubleday Books,,,
155166822X,T L C,Barbara Delinsky,2001,Mira,"When an accident on a dark country road brings Brice Carlin face-to-face with Karen Drew, both realize that they must come to terms with the emotional scars that prevent them from seeking happiness. Reissue.",Fiction,
0345273958,"The Lost Prince : Young Joe, the Forgotten Kennedy",Hank Searls,1977,Ballantine Books,,,
0340799412,Lord of the Dance (Hodder Silver Series),Judy Allen,2001,Hodder Children's Books,,,
1862041156,"Eight Easy Lessons (The \Feng Shui Fundamentals\"" Series)""",Lillian Too,1997,Element Books Ltd.,,,
0930031687,Real Goods Solar Living Sourcebook: The Complete Guide to Renewable Energy Technologies and Sustainable Living (8th),John Schaeffer,1994,Chelsea Green Pub Co,,,
0515041211,Nat High Fiber Diet,William Kaufman,1976,Jove Books,,,
037316937X,"Her Bachelor Challenge  (The Deveraux Legacy) (Harlequin American Romance, No. 937)",Cathy Gillen Thacker,2002,Harlequin,,,
0962437506,Gooberz,Linda Goodman,1989,Hampton Roads Pub Co Inc,,,
0896961389,Pure and Untouched,Barbara Cartland,1981,Dodd Mead,,,
0968459501,Resurrection! The Cause of Cancer Re-Discovered (1),E. Donald Wilson,2000,Lueric Holdings Ltd.,,,
0887506097,The story of Bobby O'Malley,Wayne Johnston,1985,Oberon Press,,,
076530158X,The Machine Crusade (Dune Series),Brian Herbert,2003,Tor Books,,,
0553292420,The Dreamers: A Novel of Adventure and Discovery,Paul King,1992,Bantam Books,,,
0380793989,Getting over Him: Cosmo's Complete Break-Up Survival Handbook (Cosmopolitan),Elizabeth Hurchalla,1997,Cosmopolitan,,,
082177462X,Kentucky Sunrise,Fern Michaels,2003,Zebra Books (Mass Market),"In the grand finale to Michaels's epic story of the Coleman and Thornton families, tough-as-nails horsewoman Nealy Coleman Diamond faces her greatest challenge yet--to produce another Derby winner.",Fiction,
0373870388,This Side Of Paradise (Love Inspired),Cheryl Wolverton,1998,Steeple Hill,,,
0449136140,B C Great Zot,Hart,1981,Not Avail,,,
0141186313,The Winter of Our Discontent (Penguin Modern Classics),John Steinbeck,2001,Penguin Books Ltd,,,
0719542219,Mother of Pearl Men,Mark Frankland,1985,John Murray,,,
0006374093,Making It Happen: Reflections on Leadership,John Harvey Jones,1989,HarperCollins Publishers,,Industrial management,en
0399141820,"Three Complete Novels: The Anderson Tapes, the Fourth Deadly Sin, the Tenth Commandment",Lawrence Sanders,1996,Putnam Pub Group,,,
0553216015,"Silver Miracles (Loveswept, No 4)",Fayrene Preston,1983,Bantam Books (Mm),,,
0590489151,Franklin Wants a Pet (Franklin),Paulette Bourgeois,1995,Scholastic,,,
0140055630,Confessions of a conservative,Garry Wills,1980,Penguin Books,,,
1558745505,For the Love of Children,Eva Shaw,1998,Health Communications,,,
1555037143,First Love and Forever: A Novel,Anita Stansfield,1994,Covenant Communications,,,
1551921111,The Game We Knew: Hockey in the Fifties,Mike Leonetti,1997,Raincoast Books,,,
1559944277,The Politics of Rich and Poor: Wealth and the American Electorate in the Reagan Aftermath,Kevin Phillips,1991,Harper Audio,,,
0060392738,Everything You Know About Money Is Wrong: Overcome the Financial Myths Keeping You from the Life You Want,Karen Ramsey,1999,ReganBooks,,,
0520212487,"No Safe Place: Toxic Waste, Leukemia, and Community Action",Phil Brown,1997,University of California Press,,,
0345282930,The American Gun Mystery,Ellery Queen,1979,Ballantine Books,,,
0373245866,"MacGowan Meets His Match (Silhouette Special Edition, 1586)",Annette Broadrick,2004,Silhouette,,,
0671038672,"Lights Out : Sleep, Sugar, and Survival",T. S. Wiley,2000,Atria,,,
3442724260,"Das Land vor uns, das Land hinter uns. ErzÃ?Â¤hlungen.",David Guterson,1999,Btb Bei Goldmann,,,
0770517307,Voice of the Pioneer,Bill McNeil,1978,Macmillan of Canada,,,
0316777730,Naked,David Sedaris,1998,Back Bay Books,Not found,Not found,Not found
0878571639,Rodale's naturally great foods cookbook: The best foods to use and how to use them in over 400 original recipes,Nancy Albright,1977,Rodale Press,,,
0811801527,Animal Alphabet (Series : Folding Screen Books),Chronicle Books,1992,Chronicle Books,,,
0736411534,Pooh's Surprise Basket (Disney's Winnie the Pooh First Readers.),Isabel Gaines,1999,Rh/Disney,A Disney First Reader book: paperbacks perfect for young children just beginning to read on their own.,Juvenile Fiction,
095904390X,A Guide for the Advanced Soul: A Book of Insight,Susan Hayward,1989,In-Tune Books,,,
0684801469,Farewell To Arms,Ernest Hemingway,1995,Scribner,"Ernest Hemingway’s classic novel of love during wartime. Written when Ernest Hemingway was thirty years old and lauded as the best American novel to emerge from World War I, A Farewell to Arms is the unforgettable story of an American ambulance driver on the Italian front and his passion for a beautiful English nurse. Set against the looming horrors of the battlefield, this gripping, semiautobiographical work captures the harsh realities of war and the pain of lovers caught in its inexorable sweep. Hemingway famously rewrote the ending to A Farewell to Arms thirty-nine times to get the words right. A classic novel of love during wartime, “A Farewell to Arms stands, more than eighty years after its first appearance, as a towering ornament of American literature” (The Washington Times).",Fiction,en
0345366387,Panther in the Sky,JAMES ALEXANDER THOM,1990,Ballantine Books,,,
3627000676,Vertrauen gegen Vertrauen.,Paule Constant,1999,Frankfurter Verlagsanstalt,,,
0590255223,Something Fishy at Macdonald Hall,Gordon Korman,2000,Little Apple Books (Scholastic),,,
0922769389,Complete Wreck Diving,Henry Keatts,1995,Natl Book Network,,,
0491015771,Economic and social geography made simple (Made simple books),R Knowles,1976,W. H. Allen,,,
0553574671,Prime Cut,Diane Mott Davidson,2000,Bantam Books,"Cheesecake, beefcake, and a pair of dueling caterers whet someone's appetite for murder in this sinfully delicous novel by the New York Times bestselling author of Sticks & Scones Caterer Goldy Schulz is convinced things couldn't get worse. An unscrupulous rival is driving her out of business. An incompetent contractor has left her precious kitchen in shambles. And she has just agreed to cater a fashion shoot at a nineteenth-century mountain cabin with her mentor and old friend, French chef André Hibbard. Together Goldy and André struggle in a hopelessly outdated kitchen to cater to a vacuous crowd of beautiful people whose personal dramas climax when a camera is pitched through a window . . . into the buffet. Then Goldy's contractor is found hanging in the house of one of her best friends. A second murder follows and Goldy must somehow solve a mystery and prepare for a society soirée that could make—or break—her career. It's a mystery that involves the dead contractor's unwholesome past, a food saboteur, the theft of four historical cookbooks, and an overzealous D.A. who has suspended Goldy's detective husband, Tom, from the force. What Goldy discovers is the perfect recipe for murder. And she may be dessert!",Fiction,en
0449143589,The Voyagers,Vivian Lord,1982,Fawcett Books,,,
0876875002,The Book of the Navajo,Raymond Friday Locke,2002,Mankind Publishing Company,,,
0571144632,Flynn,Lesley Grant-Adamson,1992,Faber and Faber Ltd,,,
0380717514,The Nightingale Gallery: Being the First of the Sorrowful Mysteries of Brother Athelstan,Paul Harding,1993,Harper Mass Market Paperbacks,,,
0970634706,Heart Magic : Keeping Love Alive &amp; Well,Maria J. Andrade,2000,Clara Pub,,Communication in marriage,en
037302875X,"Waiting Heart (Harlequin Romance, No 2875)",Jeanne Allan,1987,Harlequin,,,
0786015799,The Harvest,Scott Nicholson,2003,Pinnacle Books,,,
1565048423,"The Unbeholden: Masquerade of the Red Death Trilogy (Masquerade of the Red Death, Vol 3)",Robert Weinberg,1996,White Wolf Games Studio,"The breathtaking conclusion to The Masquerade of the Red Death trilogy. Time is running out for Dire McCann and Alicia Varney. Despite all efforts, ancient monsters once again walk the face of the Earth, and the mysterious vampire known as the Red Death and his minions are preparing to seize control of the two most powerful organizations that rule the World of Darkness. Now is the time for the final battle of the Unbeholden.",Cults,
0446517747,Bronx Angel: A Novel of the Nypd,Ed Dee,1995,Warner Books Inc,,,
0446359866,Presumed Innocent,Scott Turow,1989,Warner Books,"Scott Turow's #1 runaway bestseller comes to theaters everywhere as a major motion picture from Warner Bros., starring Harrison Ford, Brian Dennehy, Raul Julia, and Bonnie Bedelia, directed by Alan Pakula, best known for his award-winning work in ""Klute"".",Fiction,en
0140254927,Soultown (Whitney Logan Mystery),Mercedes Lambert,1997,Penguin Books,,,
0066211336,Daughter of the Game,Tracy Grant,2002,William Morrow &amp; Company,,,
0684855933,SINGLE MOM : A Novel,Omar Tyree,1999,Simon &amp; Schuster,,,
0394887786,If We Were All the Same (Mister Rogers Books),Fred Rogers,1988,Random House Childrens Books,,,
0380723050,The Basement,Bari Wood,1996,Harper Mass Market Paperbacks (Mm),,,
2266027220,"Le Cycle de Dune, tome 4 : Les Enfants de Dune",Frank Herbert,1992,Pocket,,,
0452274524,House of Splendid Isolation,Edna O'Brien,1995,Plume Books,,,
0192823183,The Riddle of the Sands: A Record of Secret Service (Oxford Popular Fiction),Erskine Childers,1995,Oxford University Press,,,
0811909158,The Greatest Gift in the World (Lifetime Classics),Og Mandino,1998,Frederick Fell Publishers,,,
0689824580,The Faithful Friend The,Robert D. San Souci,1999,Aladdin,,,
2920845071,Easy Cooking for Today,Pol Martin,1988,Tormont/Brimar Publications,,,
0689311850,Sister in the Shadow,Anne Warren Smith,1986,Atheneum Books,,,
0312970773,A Likeness In Stone,Julia Wallis Martin,1999,St. Martin's Paperbacks,,,
0071398473,101 Ways to Recession-Proof Your Career,Wendy  Enelow,2002,McGraw-Hill Trade,,,
0201083078,A legal guide for lesbian &amp; gay couples,Hayden Curry,1980,Addison-Wesley,,,
0916951162,The Legal Research Manual: A Game Plan for Legal Research and Analysis,Christopher G. Wren,1995,Adams &amp; Ambrose Pub,,,
1570428565,The Fig Eater : A Novel,Jody Shields,2000,Time Warner Audio Major,,,
0689704135,MRS FRISBY AND THE RATS OF NIMH,Robert C. O'Brien,1975,Simon Pulse,,,
1572319658,Learn Microsoft Visual C++ 6.0 Now (Learn Now),Chuck Sphar,1999,Microsoft Pr,,,
0673396800,"The Little, Brown reader",Marcia Stubbs,1989,"Scott, Foresman",,,
052524333X,Crampton Hodnet,Barbara Pym,1985,Penguin USA,,,
0688043216,Jealousy,Nancy Friday,1985,William Morrow &amp; Company,,,
3404138902,Geisterbahn.,Dean Koontz,1997,LÃ?Â¼bbe,,,
0140097384,Death of the Rainbow Warrior,Michael King,1987,Penguin USA,,,
0425142965,"Be Your Own Best Friend: How to Achieve Greater Self-Esteem, Health, and Happiness",Louis Proto,1994,Berkley Publishing Group,,,
0061082716,Duel of Hearts,Helen Archery,1994,HarperCollins Publishers,,,
080540189X,What Would Jesus Do?,Garrett W. Sheldon,1998,Broadman &amp; Holman Publishers,,,
0891092811,Inside Out Study Guide,Larry Crabb,1989,Navpress Publishing Group,,,
2226053492,Car dÃ©jÃ  le jour baisse: Roman,Suzanne Prou,1991,A. Michel,,,
0898706807,"Roses, Fountains, and Gold: The Virgin Mary in History, Art, and Apparition",John Martin,1998,Ignatius Press,,,
0373161727,"Open Channels (Harlequin American Romance, No 172)",Rebecca Bond,1986,Harlequin,,,
8434428814,Contemporanea de Navarra en Sus Docum.,M. Vazquez de Prada,2001,Editorial Ariel,,,
0373832257,Harlequin Historical Christmas Stories 1991,Lynda Trent,1991,Harlequin,,,
0449218368,Life and Death: The Story of a Hospital,Ina Yalof,1990,Fawcett Books,,,
037602237X,Easy Basics for Good Cooking,Sunset Books,1987,Leisure Arts,"Provides recipes for soups, salads, meat, fish, pasta, vegetables, breads and desserts, and includes a variety of cooking tips",Cooking,
0751334316,K.I.S.S. Guide to Yoga (Keep It Simple Series),Shakta Khalsa,2001,Penguin Books Ltd,,,
0195084438,The Lupus Book: A Guide for Patients and Their Families,Daniel J. Wallace,1995,Oxford University Press,,,
0373273371,"Staking His Claim (Silhouette Intimate Moments, 1267)",Karen Templeton,2004,Silhouette,,,
0525470816,Balthazar,Lawrence Durrell,1961,Dutton,,,
155584197X,The Frontiers of Paradise: A Study of Monks and Monasteries,Peter Levi,1988,Pub Group West,,,
0679425411,The Killer Angels: A Novel,Michael Shaara,1993,Random House Trade,,,
0595271839,Rented Rooms: A Collection of Short Fiction,Linda A. Lavid,2003,Writers Club Press,,,
0062507966,Gnostic Book of Hours: Keys to Inner Wisdom,June Singer,1992,Harpercollins,,,
0896083535,"Talking Back: Thinking Feminist, Thinking Black",South End Press,1998,South End Press,,,
9505375816,"La Argentina Robada: El Corralito, Los Bancos y El Vaciamiento del Sistema Financiero",Mario Cafiero,2002,Ediciones Macchi,,,
3407787588,Wie Spucke im Sand,Klaus Kordon,2002,Beltz,,,
0816726132,102 Animal Jokes,Ski Michaels,1992,Troll Communications Llc,,,
0486290603,"Medieval Costume in England and France: The 13th, 14th and 15th Centuries",Mary G. Houston,1996,Dover Publications,,,
051512768X,The Orchid Hunter,Jill Marie Landis,2000,Jove Books,,,
0425174018,Hush Money (Spenser Mysteries),Robert B. Parker,2000,Berkley Publishing Group,"Spenser has his hands full when he takes on two cases at once. In the first, a high-minded university might be hiding a killer within a swamp of political correctness. And in the other, Spenser comes to the aid of a stalking victim, only to find himself the unwilling object of the woman's dangerous affection.",Fiction,en
051720374X,The Next 500 Years : Life in the Coming Millennium,Adrian Berry,1999,Random House Value Pub,,,
0887307604,The Agile Investor: Profiting from the End of Buy and Hold,Stephen Leeb,1997,HarperCollins Publishers,,,
0882707167,"Tough Times, Tough People, and a Good God",David T. Demola,1994,Bridge Logos Pub,,,
0786013435,A Clue from the Grave,Irene Pence,2000,Pinnacle Books,,,
0801990599,"Jeep Wagoner/Commando/Cherokee, 1957-83 (Chilton's Total Car Care Repair Manuals)",Chilton,1997,Chilton/Haynes,,,
0261103431,Tales from the Perilous Realm,J.R.R. Tolkien,1998,HarperCollins,,,
0743435702,Skylock,Paul Kozerski,2002,Baen,,,
0814479707,Delivering Knock Your Socks Off Service,Kristin Anderson,1998,Amer Management Assn,,,
0446352985,Eccentric Lady,Jane Lovelace,1989,Warner Books,,,
0373057423,"Best Kept Secrets (Silhouette Desire, No 742)",Anne Marie Wilson,1992,Silhouette,,,
1400041503,Caramelo (Today Show Book Club #9),Sandra Cisneros,2003,Alfred A. Knopf,,,
0804105855,The Right to Innocence: Healing the Trauma of Childhood Sexual Abuse,Beverly Engel,1991,Ivy Books,,,
0446525936,Bones Would Rain From the Sky: Deepening Our Relationships with Dogs,Suzanne Clothier,2002,Warner Books,,,
0553263684,"The Wilderness War (Narratives of America, Book 4)",Allan W. Eckert,1985,Bantam,,,
0312239866,In Defense of Sin,John Portmann,2001,Palgrave,,,
0062736310,All the Backyard Birds: East (American Bird Conservancy Compact Guide),Jack Griggs,1998,HarperResource,,,
0312307594,The Chestnut Tree: A Novel of the Women of World War II,Charlotte Bingham,2003,Thomas Dunne Books,,,
0672301687,Advanced C/Book and Disk,Peter D. Hipson,1992,Macmillan Computer Pub,,,
074514196X,Flowers for the Judge,Margery Allingham,1993,Chivers Audio Books,,,
0689832362,Parallel Journeys,Eleanor H. Ayer,2000,Aladdin,"She was a young German Jew. He was an ardent member of the Hitler Youth. This is the story of their parallel journey through World War II. Helen Waterford and Alfons Heck were born just a few miles from each other in the German Rhineland. But their lives took radically different courses: Helen’s to the Auschwitz concentration camp; Alfons to a high rank in the Hitler Youth. While Helen was hiding in Amsterdam, Alfons was a fanatic believer in Hitler’s “master race.” While she was crammed in a cattle car bound for the death camp Auschwitz, he was a teenage commander of frontline troops, ready to fight and die for the glory of Hitler and the Fatherland. This book tells both of their stories, side-by-side, in an overwhelming account of the nightmare that was World War II. The riveting stories of these two remarkable people must stand as a powerful lesson to us all.",Juvenile Nonfiction,
0312265735,Death of the Last Villista : A Texana Jones Mystery (Texana Jones Mysteries (Hardcover)),Allana Martin,2001,St. Martin's Minotaur,,,
074347158X,The Far Side of the Stars (RNC),David Drake,2003,Baen,,,
0805023232,More from the Gluten-Free Gourmet: Delicious Dining Without Wheat,Bette Hagman,1994,Owl Publishing Company,,,
1863305793,Smoke,Deirdre Macken,1996,Mandarin,,,
0553567950,The Purgatory River (Rivers West),Frank Roderus,1997,Bantam Books,,,
2253172278,Piranha : TempÃ?Âªte en mer de Chine,MichaÃ?Â«l Dimercurio,2002,LGF,,,
0385479824,One More River to Cross: Black and Gay in America,Keith Boykin,1996,Anchor,,,
0374263523,Shy Girl,Elizabeth Stark,1999,Farrar Straus &amp; Giroux,,,
0689314310,PUERTO RICO,Denis J. Hauptly,1991,Atheneum,,,
0449005429,Fighting Back: A Battered Woman's Desperate Struggle to Survive,Robert Davidson,2000,Ballantine Books,,,
0394563581,3 Blind Mice How the TV Networks Lost Their Way,Ken Auletta,1991,Random House Inc,,,
1568303297,Photoshop Type Magic (Photoshop Type Magic),Greg Simsic,1996,Hayden Books,,,
0740715534,"1,000 Marbles: A Little Something About Precious Time",Jim Davis,2001,Andrews McMeel Publishing,,,
0811440796,You Don't Own Me (Moments in American History),Melissa Stone,1989,Steck-Vaughn Co,,,
8480196017,Jabones Liquidos,Catherine Failor,2003,Paidotribo Editorial,,,
0393320294,Naked London,Greg Friedler,2000,W.W. Norton &amp; Company,,,
0810931850,Cat Horoscopes: For Each of Your Cat's Nine Lives,Genia Wennerstrom,1992,Harry N Abrams Inc,,,
0192892452,Ethics (Oxford Readers),Peter Singer,1994,Oxford University Press,,,
0425059456,Soul Catcher,Frank Herbert,1982,Berkley Publishing Group,,,
0671556231,Diet for Runners,Nathan Pritikin,1985,Simon &amp; Schuster Books,,,
0738202053,The Blackwinged Night: Creativity in Nature and Mind,F. David Peat,2000,Perseus Publishing,,,
0723248273,Flower-Fairies of the Summer (Flower Fairies Collection),Cicely Mary Barker,2002,Frederick Warne and Company Inc,,,
0880389087,"Crusade (Forgotten Realms: The Empires Trilogy, Book 3)",James Lowder,1991,Wizards of the Coast,,,
0263811352,Christmas Masquerades (By Request),Darcy,1998,Harlequin Mills &amp; Boon Ltd,,,
0553525999,A Sudden Change of Heart,Barbara Taylor Bradford,1999,Random House Audio Publishing Group,,,
1860464319,"Winter Sea: War, Journeys, Writers",Alan Ross,1998,Harvill Press,,,
0440214009,Treasures,Belva Plain,1993,Dell,"A story of family... the Osbornes -- two sisters and a brother -- united by family ties but split apart by different dreams. Lara, the happy young wife, longs for the family that will make her life whole. Connie, wild and lovely, is more like her brother Eddy -- bright, ambitious, and ready to seize all that life has to offer. A story of choices... Connie is looking for wealth -- to make or to marry. Lara, staying behind in a small Ohio town, finds everything she cherishes threatened by fate and by her own blind commitment. And Eddy, as Wall Street's ""wonder boy,"" can make millions... if he ruthlessly uses his family and friends. A story of marriages... Lara's held together by devotion, Connie's shattered by infidelity and betrayal, and Eddy's rocked by shame and prison. Torn by conflicting loyalties, they are a family caught in the tides of scandal... and swept toward a fate where dreams may end or be born again...",Fiction,en
0964928310,A Christmas Dozen: Christmas Stories to Warm the Heart,Steve Burt,2000,Burt Creations,,,
0963418386,In the Name of the Father,Cathie John,2003,Journey Book Press,,,
0684837196,The Money Club: The Park Avenue Women's Guide to Personal Finance,Marilyn Crockett,2001,Simon &amp; Schuster,,,
0307122379,Nothing-To-Do Puppy: Story and Pictures,Cyndy Szekeres,1991,Golden Books,,,
2290327603,Les Droits de l'enfant,FranÃ?Â§oise Martinetti,2002,J'ai lu,,,
0201406462,The Sibling Society,Robert W. Bly,1996,Perseus Books Group,"The author of Iron John expands his mythic perspective to examine American culture at large--and finds us to be a nation of squabbling children. Bly looks beyond the individual psyche to the problems of our public life, explaining why our culture is so adrift, and challenges us to move beyond our own asolescent envy and fantasy and take responsiblity for our real children, to stop abandoning them ""the devouring giants"" of television, consumerism, and spiritual impoverishment.",Psychology,en
0571134769,"All what jazz: A record diary, 1961-1971",Philip Larkin,1985,Faber and Faber,,,
0881848018,Ghostwright,Michael Cadnum,1992,Pub Group West,,,
0671493477,BLK VELVET GOWN,Catherine Cookson,1985,Pocket,,,
1892859106,"The Official Rules and Explanations: The Original Guide to Surviving the Electronic Age With Wit, Wisdom, and Laughter",Paul Dickson,1999,Federal Street Press,,,
0064440737,The Horse in Harry's Room (Level 1),Syd Hoff,2002,HarperTrophy,,,
037311446X,"Night Of Error (Harlequin Presents, No. 1446)",Kay Thorpe,1992,Harlequin,,,
0330370529,Compulsion,Shaun Hutson,2002,Pan,"A gang of teenagers are running riot on the streets and are responsible for a number of burglaries and car thefts. The police are at their wits' end. Just when it seems things can't get any worse, the gang targets an old people's home. The senior citizens decide to fight back.",Juvenile delinquents,
0307249026,Tale of the Blue Monkey (Ghosts of Fear Street #29),R. L. Stine,1998,Golden Books,,,
0812555171,Expiration Date,Tim Powers,1996,Tor Books,"Los Angeles is filled with ghosts--and half-ghosts, and ghost hunters, and ghost junkies--chasing each other in a mad quest for immortality. As a series of disasters strikes Los Angeles, a young boy inhales the last breath of Thomas Edison, and becomes a precious prize in a deadly hunt for the elusive vitalspark. Brimming with the wild imagination and heart-stopping escapades that won Tim powers the World Fantasy Award, Expiration Date is an exuberant and inventive tale from one of fantasy's most original talents.",Fiction,en
0679735968,This Quiet Dust and Other Writings (Vintage International),William Styron,1993,Vintage Books USA,,,
0451197437,Stiletto,Harold Robbins,1999,Signet Book,,,
0446311065,Life Before Man,Margaret Eleanor Atwood,1983,Not Avail,,,
0966087607,Scriptology: Filemaker Pro Demystified,Matthew Petrowsky,1998,Iso Production Inc,,,
0786001437,Shades of Rose,Deb Stover,1995,Pinnacle Books,,,
0312267681,Remember Me: A Novel,Laura Hendrie,2000,Picador USA,,,
0465001270,The Dispossessed: America's Underclasses from the Civil War to the Present,Jacqueline Jones,1992,Perseus Books Group,,,
0374509875,Knulp: Three Tales from the Life of Knulp,Hermann Hesse,1971,Farrar Straus &amp; Giroux,,,
0394736575,A House in the Country,JosÃ© Donoso,1984,Vintage Books,,,
0962203637,Win the Whining War &amp; Other Skirmishes: A Family Peace Plan,Cynthia Whitham,1991,Perspective Publishing,,,
8488914075,"Copia, La",Ansel Adams,1998,Omnicon,,,
0380773538,Midnight Angel,Lisa Kleypas,1995,Avon,,,
0141182539,Lolita,Vladimir Nabokov,0,Penguin Putnam~trade,,,
067172813x,JOYS OF YIDDISH,Leo Rosten,1991,Pocket,,,
0811830195,Cheap Frills: Fabulous Facelifts for Your Clothes,Jennifer Knapp,2001,Chronicle Books,,,
0586048405,Steppe Uk Edition,Piers Anthony,0,Hunter Publishing+inc,,,
9505500203,Autoliberacion Interior,Anthony de Mello,1987,Magisterio del Rio de la Plata,,,
0766602451,Hot Wheels: Super Stunt Show,Mattel,2000,Modern Publishing,,,
0862410223,The Vernacular Republic: Poems 1961-1981,Les A. Murray,0,Canongate Books Ltd,,,
0393090477,Basic college writing,Laurie G Kirszner,1978,Norton,,English language,
0226669548,The Ovary of Eve: Egg and Sperm and Preformation,Clara Pinto-Correia,1998,University of Chicago Press,,,
0618446885,The Book of Salt : A Novel,Monique Truong,2004,Mariner Books,"Considering whether he will accompany his employers, Gertrude Stein and Alice B. Toklas, to America, a personal cook remembers his youth in French-colonial Vietnam, his years as a galley hand at sea, and his days cooking for the doyennes of the Lost Generation. Reader's Guide available. Reprint.",Fiction,
0486287556,The Long Voyage Home and Other Plays (Dover Thrift Editions),Eugene O'Neill,1995,Dover Publications,,,
